date;close;tradecount;close
06/04/2019 00:00;5,04389E+11;281237;5004,95
05/04/2019 00:00;5,00495E+11;292375;4898,66
04/04/2019 00:00;4,89866E+11;419141;4932,6
03/04/2019 00:00;4,9326E+11;692019;4857,29
02/04/2019 00:00;4,85729E+11;609133;4144,56
01/04/2019 00:00;4,14456E+11;184268;4103,95
31/03/2019 00:00;4,10395E+11;124046;4106,97
30/03/2019 00:00;4,10697E+11;162463;4103,25
29/03/2019 00:00;4,10325E+11;203826;4027,81
28/03/2019 00:00;4,02781E+11;157060;4038,05
27/03/2019 00:00;4,03805E+11;224309;3948,55
26/03/2019 00:00;3,94855E+11;192418;3936,12
25/03/2019 00:00;3,93612E+11;227739;3992,18
24/03/2019 00:00;3,99218E+11;131087;4006,01
23/03/2019 00:00;4,00601E+11;143155;3986,93
22/03/2019 00:00;3,98693E+11;153703;3980,64
21/03/2019 00:00;3,98064E+11;236100;4043,04
20/03/2019 00:00;4,04304E+11;175036;4015,53
19/03/2019 00:00;4,01553E+11;147394;3987,81
18/03/2019 00:00;3,98781E+11;157876;3981,14
17/03/2019 00:00;3,98114E+11;146953;4005,98
16/03/2019 00:00;4,00598E+11;216198;3923,76
15/03/2019 00:00;3,92376E+11;163866;3877,12
14/03/2019 00:00;3,87712E+11;196651;3866
13/03/2019 00:00;3,866E+11;186572;3882,73
12/03/2019 00:00;3,88273E+11;182885;3871,61
11/03/2019 00:00;3,87161E+11;209916;3916,82
10/03/2019 00:00;3,91682E+11;167920;3943,04
09/03/2019 00:00;3,94304E+11;206869;3864,89
08/03/2019 00:00;3,86489E+11;211534;3873,64
07/03/2019 00:00;3,87364E+11;180520;3861,84
06/03/2019 00:00;3,86184E+11;165101;3857,73
05/03/2019 00:00;3,85773E+11;202444;3715,3
04/03/2019 00:00;3,7153E+11;218615;3807,75
03/03/2019 00:00;3,80775E+11;127681;3819,93
02/03/2019 00:00;3,81993E+11;149854;3823
01/03/2019 00:00;3,823E+11;179860;3813,69
28/02/2019 00:00;3,81369E+11;233849;3818,07
27/02/2019 00:00;3,81807E+11;201626;3809,23
26/02/2019 00:00;3,80923E+11;213897;3827,92
25/02/2019 00:00;3,82792E+11;262716;3743,56
24/02/2019 00:00;3,74356E+11;410578;4117,76
23/02/2019 00:00;4,11776E+11;231563;3962
22/02/2019 00:00;3,962E+11;179588;3937,31
21/02/2019 00:00;3,93731E+11;209571;3969,74
20/02/2019 00:00;3,96974E+11;250176;3907,79
19/02/2019 00:00;3,90779E+11;332281;3898,6
18/02/2019 00:00;3,8986E+11;393515;3667,58
17/02/2019 00:00;3,66758E+11;179511;3618,41
16/02/2019 00:00;3,61841E+11;149393;3602,47
15/02/2019 00:00;3,60247E+11;151256;3590,56
14/02/2019 00:00;3,59056E+11;155215;3609,4
13/02/2019 00:00;3,6094E+11;167690;3631,46
12/02/2019 00:00;3,63146E+11;198996;3631,05
11/02/2019 00:00;3,63105E+11;172626;3680,06
10/02/2019 00:00;3,68006E+11;171099;3665,18
09/02/2019 00:00;3,66518E+11;192209;3659,04
08/02/2019 00:00;3,65904E+11;277242;3398,4
07/02/2019 00:00;3,3984E+11;148209;3405,37
06/02/2019 00:00;3,40537E+11;207024;3471,59
05/02/2019 00:00;3,47159E+11;162066;3463,22
04/02/2019 00:00;3,46322E+11;155686;3458,11
03/02/2019 00:00;3,45811E+11;138592;3504,77
02/02/2019 00:00;3,50477E+11;153234;3462,07
01/02/2019 00:00;3,46207E+11;167520;3434,1
31/01/2019 00:00;3,4341E+11;198100;3458,18
30/01/2019 00:00;3,45818E+11;180820;3411,04
29/01/2019 00:00;3,41104E+11;189650;3434,15
28/01/2019 00:00;3,43415E+11;260799;3550,84
27/01/2019 00:00;3,55084E+11;163855;3565,25
26/01/2019 00:00;3,56525E+11;135369;3565,29
25/01/2019 00:00;3,56529E+11;153413;3569,62
24/01/2019 00:00;3,56962E+11;162159;3552,82
